ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
AJANTPHARM.NS,Drug Manufacturers - Specialty & Generic,323760783360.0,0.12275511163543351,0.1918841757311194
AJMERA.NS,Real Estate - Development,32032403456.0,0.2638628926350024,0.12346172660560739
AJOONI.NS,Packaged Foods,583310080.0,0.16217130739402497,0.01588759902704062
AKASH.NS,Engineering & Construction,461358016.0,-0.07331647704735222,0.018993270642048088
AKG.NS,Industrial Distribution,405469408.0,0.20710103199322738,0.010965692515218273
AKI.NS,Footwear & Accessories,700289664.0,0.16496745230135756,0.020656277819937712
AKSHAR.NS,Textile Manufacturing,472480832.0,0.16645392527037295,0.012872158681368893
AKSHARCHEM.NS,Specialty Chemicals,1960077312.0,0.07607734530667853,0.007461248775592181
AKSHOPTFBR.NS,Communication Equipment,1558646784.0,-0.06654008467954464,-0.11761064309876051
AKUMS.NS,Drug Manufacturers - Specialty & Generic,79582420992.0,0.14253278817151593,0.0012706849569967997
AKZOINDIA.NS,Specialty Chemicals,160010403840.0,0.17981900977820953,0.09425354438673138
ALANKIT.NS,Information Technology Services,4056524032.0,0.2714490187624692,0.021930695270379223
ALBERTDAVD.NS,Drug Manufacturers - Specialty & Generic,5035710464.0,0.13512434485554725,0.1296230465970204
ALEMBICLTD.NS,Real Estate - Development,27655825408.0,0.29440348052534215,2.9005381652301327
ALICON.NS,Metal Fabrication,11943479296.0,0.21910197582017998,0.02508812912611036
ALIVUS.NS,Drug Manufacturers - Specialty & Generic,144812589056.0,0.05484599968564119,0.20825747796358543
ALKALI.NS,Specialty Chemicals,868770880.0,0.1412082292338972,0.01597035559659358
ALKEM.NS,Drug Manufacturers - Specialty & Generic,613009784832.0,0.12534685654733102,0.14213232788410157
ALKYLAMINE.NS,Specialty Chemicals,88251203584.0,0.010438872120848597,0.1268381960609366
ALLCARGO.NS,Integrated Freight & Logistics,30485899264.0,0.0785843945712772,0.027846945461353682
ALLDIGI.NS,Specialty Business Services,14696611840.0,0.19263428017440143,0.12519445832624254
ALMONDZ.NS,Capital Markets,3748921344.0,0.28873664355401707,0.2882031419336005
ALOKINDS.NS,Textile Manufacturing,86792388608.0,-0.20240736697100992,-0.13248966902942771
ALPA.NS,Drug Manufacturers - Specialty & Generic,2229672448.0,0.038291623836190336,0.12357398527530414
ALPHAGEO.NS,Oil & Gas Equipment & Services,1602903680.0,-0.11655269058218087,0.08118901819924826
ALPSINDUS.NS,Textile Manufacturing,97002968.0,-0.8003933428895299,-8.385496878451416
AMBER.NS,"Furnishings, Fixtures & Appliances",213255356416.0,0.29833689805478136,0.024396601774303018
AMBICAAGAR.NS,Household & Personal Products,481654304.0,-0.11963952562479585,0.005962480103786487
AMBIKCO.NS,Textile Manufacturing,8333309952.0,0.09232022551157715,0.1326320503984018
AMDIND.NS,Packaging & Containers,975776704.0,0.3282871146447157,0.02894751610544352
AMIORG.NS,Specialty Chemicals,96146841600.0,0.2462922612075371,0.12534798722646853
AMJLAND.NS,Real Estate - Development,2361269248.0,0.7143342014804335,0.2730700775962923
AMNPLST.NS,Chemicals,11413899264.0,0.1381146134594189,0.054118854901611564
AMRUTANJAN.NS,Drug Manufacturers - Specialty & Generic,20673701888.0,0.08105112918211299,0.14061623984991564
ANANDRATHI.NS,Asset Management,148415922176.0,0.3102558911051234,0.3100937407655919
ANANTRAJ.NS,Real Estate - Development,157796548608.0,0.6460771316939309,0.1656911572605812
ANDHRAPAP.NS,Paper & Paper Products,15160323072.0,0.2655898722068959,0.1345819756509898
ANDHRSUGAR.NS,Chemicals,9998670848.0,0.07961260106118306,0.08324149348050434
ANGELONE.NS,Capital Markets,230473596928.0,0.37685266611502777,0.290303863037351
ANIKINDS.NS,Food Distribution,3055660800.0,-0.09048231631723058,0.030226652374632304
ANMOL.NS,Thermal Coal,1091045248.0,0.2947853636521316,0.014121532140422157
ANSALAPI.NS,Real Estate - Development,684678400.0,-0.11552289032265073,-0.23143108758891348
ANTGRAPHIC.NS,Packaging & Containers,156560096.0,-0.07964731733777797,-0.12223466133844117
ANUHPHR.NS,Drug Manufacturers - Specialty & Generic,9029179392.0,0.14416285571870646,0.07251084484689005
ANUP.NS,Specialty Industrial Machinery,60262502400.0,0.25568299636694425,0.18414812851228052
ANURAS.NS,Specialty Chemicals,99800793088.0,0.21091923829919512,0.10905286405179654
APARINDS.NS,Electrical Equipment & Parts,278265888768.0,0.3613612218769282,0.037258272987241645
APCL.NS,Building Materials,3928039936.0,0.15310399457318802,0.0276026821097193
APCOTEXIND.NS,Specialty Chemicals,17432881152.0,0.2743721750651458,0.08383077359034058
APEX.NS,Farm Products,6790000128.0,-0.01638542062054338,0.03903121909151315
APLAPOLLO.NS,Steel,484308844544.0,0.16565380051154732,0.04241851004140168
APLLTD.NS,Drug Manufacturers - Specialty & Generic,178410422272.0,0.0844353027577236,0.08701647265292005
APOLLO.NS,Aerospace & Defense,40809091072.0,0.2231746481605963,0.0643440386206985
APOLLOHOSP.NS,Medical Care Facilities,994488877056.0,0.21686848766282285,0.0461088399504225
APOLLOPIPE.NS,Building Products & Equipment,18277412864.0,0.23921359834368072,0.05493719408664872
APOLLOTYRE.NS,Auto Parts,302086815744.0,0.1385058889145323,0.040964816464191756
APOLSINHOT.NS,Specialty Business Services,3504558848.0,0.45466875698795706,0.04882304860190015
APTECHT.NS,Education & Training Services,9829788672.0,0.5465857963559277,0.13427680194059316
APTUS.NS,Mortgage Finance,160840138752.0,0.25813198021070516,0.5922005569868276
ARCHIDPLY.NS,Lumber & Wood Production,1809903616.0,0.23676063579458306,0.020719632605615466
ARCHIES.NS,Specialty Retail,626286272.0,0.13011096466866978,-0.03839134555587473
ARE&M.NS,Electrical Equipment & Parts,185267044352.0,0.17776663677484117,0.07519146057945997
ARENTERP.NS,Other Industrial Metals & Mining,132724432.0,,
ARIES.NS,Agricultural Inputs,3985817856.0,0.10626254418339598,0.03792709819933335
ARIHANTCAP.NS,Capital Markets,7284762112.0,0.18931186422902568,0.4862179942161098
