YF_Ticker,Years
ANDHRAPAP.NS,"[2021, 2022, 2023, 2024]"
ANDHRSUGAR.NS,"[2021, 2022, 2023, 2024]"
ANGELONE.NS,"[2021, 2022, 2023, 2024, 2025]"
ANIKINDS.NS,"[2021, 2022, 2023, 2024]"
ANMOL.NS,"[2021, 2022, 2023, 2024]"
ANSALAPI.NS,"[2021, 2022, 2023, 2024]"
ANTGRAPHIC.NS,"[2021, 2022, 2023, 2024]"
ANUHPHR.NS,"[2021, 2022, 2023, 2024]"
ANUP.NS,"[2021, 2022, 2023, 2024]"
ANURAS.NS,"[2021, 2022, 2023, 2024]"
APARINDS.NS,"[2021, 2022, 2023, 2024]"
APCL.NS,"[2021, 2022, 2023, 2024]"
APCOTEXIND.NS,"[2021, 2022, 2023, 2024]"
APEX.NS,"[2021, 2022, 2023, 2024]"
APLAPOLLO.NS,"[2021, 2022, 2023, 2024, 2025]"
APLLTD.NS,"[2021, 2022, 2023, 2024, 2025]"
APOLLO.NS,"[2021, 2022, 2023, 2024]"
APOLLOHOSP.NS,"[2021, 2022, 2023, 2024]"
APOLLOPIPE.NS,"[2021, 2022, 2023, 2024]"
APOLLOTYRE.NS,"[2021, 2022, 2023, 2024]"
APOLSINHOT.NS,"[2021, 2022, 2023, 2024]"
APTECHT.NS,"[2021, 2022, 2023, 2024]"
APTUS.NS,"[2021, 2022, 2023, 2024, 2025]"
ARCHIDPLY.NS,"[2021, 2022, 2023, 2024]"
ARCHIES.NS,"[2021, 2022, 2023, 2024]"
ARE&M.NS,"[2021, 2022, 2023, 2024]"
ARENTERP.NS,"[2021, 2022, 2023, 2024]"
ARIES.NS,"[2021, 2022, 2023, 2024]"
ARIHANTCAP.NS,"[2021, 2022, 2023, 2024]"
ARIHANTSUP.NS,"[2021, 2022, 2023, 2024]"
ARKADE.NS,"[2021, 2022, 2023, 2024]"
ARMANFIN.NS,"[2021, 2022, 2023, 2024]"
AROGRANITE.NS,"[2021, 2022, 2023, 2024]"
ARROWGREEN.NS,"[2021, 2022, 2023, 2024]"
ARSHIYA.NS,"[2021, 2022, 2023, 2024]"
ARVEE.NS,"[2021, 2022, 2023, 2024]"
ARVIND.NS,"[2021, 2022, 2023, 2024]"
ARVINDFASN.NS,"[2021, 2022, 2023, 2024]"
ARVSMART.NS,"[2021, 2022, 2023, 2024]"
ASAHIINDIA.NS,"[2021, 2022, 2023, 2024]"
ASAHISONG.NS,"[2021, 2022, 2023, 2024]"
ASAL.NS,"[2021, 2022, 2023, 2024, 2025]"
ASALCBR.NS,"[2021, 2022, 2023, 2024]"
ASHAPURMIN.NS,"[2021, 2022, 2023, 2024]"
ASHIANA.NS,"[2021, 2022, 2023, 2024]"
ASHIMASYN.NS,"[2021, 2022, 2023, 2024]"
ASHOKA.NS,"[2021, 2022, 2023, 2024]"
ASHOKAMET.NS,"[2021, 2022, 2023, 2024]"
ASHOKLEY.NS,"[2021, 2022, 2023, 2024]"
ASIANENE.NS,"[2021, 2022, 2023, 2024]"
ASIANHOTNR.NS,"[2021, 2022, 2023, 2024]"
ASIANPAINT.NS,"[2021, 2022, 2023, 2024, 2025]"
ASIANTILES.NS,"[2021, 2022, 2023, 2024]"
ASKAUTOLTD.NS,"[2021, 2022, 2023, 2024]"
ASMS.NS,"[2021, 2022, 2023, 2024]"
ASPINWALL.NS,"[2021, 2022, 2023, 2024]"
ASTEC.NS,"[2021, 2022, 2023, 2024, 2025]"
ASTERDM.NS,"[2021, 2022, 2023, 2024]"
ASTRAL.NS,"[2021, 2022, 2023, 2024]"
ASTRAMICRO.NS,"[2021, 2022, 2023, 2024]"
ASTRAZEN.NS,"[2021, 2022, 2023, 2024]"
ASTRON.NS,"[2021, 2022, 2023, 2024]"
ATALREAL.NS,"[2021, 2022, 2023, 2024]"
ATAM.NS,"[2021, 2022, 2023, 2024]"
ATGL.NS,"[2021, 2022, 2023, 2024, 2025]"
ATLANTAA.NS,"[2021, 2022, 2023, 2024]"
ATLASCYCLE.NS,"[2021, 2022, 2023, 2024]"
ATUL.NS,"[2021, 2022, 2023, 2024, 2025]"
