industry,percentile,revenue_cagr,net_profit_margin_avg
Advertising Agencies,1,1.075068327331213,0.2418177717454742
Advertising Agencies,5,0.950701441641911,0.22156310630848502
Advertising Agencies,10,0.7952428345302838,0.19624477451224862
Aerospace & Defense,1,1.0041629067267133,0.2933416259026547
Aerospace & Defense,5,0.8402424743512384,0.285365538355324
Aerospace & Defense,10,0.4395397572073816,0.2426868168229735
Agricultural Inputs,1,1.0271288397889,0.28178676429802973
Agricultural Inputs,5,0.5443987799546298,0.25241581285414033
Agricultural Inputs,10,0.2954009755023432,0.16914855314622596
Airlines,1,0.6800728654664094,-0.13266780085658
Airlines,5,0.6800728654664094,-0.13266780085658
Airlines,10,0.6800728654664094,-0.13266780085658
Airports & Air Services,1,1.2066508053877143,0.22502115847398074
Airports & Air Services,5,1.2066508053877143,0.18023293741214447
Airports & Air Services,10,1.2066508053877143,0.12424766108484936
Aluminum,1,0.35440955440355665,3.000664214430305
Aluminum,5,0.3371149345238837,0.9511509313627393
Aluminum,10,0.3332999448445441,0.2560312415209469
Apparel Manufacturing,1,5.220562020916872,0.3008062452776745
Apparel Manufacturing,5,1.1677284845389695,0.1336631359442117
Apparel Manufacturing,10,0.4168593728606111,0.12691672410935084
Apparel Retail,1,0.6084034922596275,0.1470176825225449
Apparel Retail,5,0.580081741332071,0.1470176825225449
Apparel Retail,10,0.5712311941672097,0.12369918187731294
Asset Management,1,8.317128150179549,11346.254092186306
Asset Management,5,7.524229482911366,291.4574922619823
Asset Management,10,1.3435279718019202,130.2057475093991
Auto & Truck Dealerships,1,0.2703573920667004,0.0179513763947452
Auto & Truck Dealerships,5,0.2703573920667004,0.0179513763947452
Auto & Truck Dealerships,10,0.2703573920667004,0.0179513763947452
Auto Manufacturers,1,16.770402246308752,0.1932681398026503
Auto Manufacturers,5,12.997002355158576,0.18979425467258632
Auto Manufacturers,10,1.114669176166321,0.1793725992823943
Auto Parts,1,0.715964133878697,0.8091655000371811
Auto Parts,5,0.3555541327759761,0.1516522582001916
